Niveau_alerte,date,region_id,hospit_pct,first_dose,second_dose,CONNECT_lag,Faibles_revenues_65_ans,Immigration_2011_2016
1,2021-07-24,2,0.000361836392057,0.767328344815608,0.577103716783419,0.7,0.017,0.0022
1,2021-07-24,3,0.000273973728659,0.790864893965318,0.581042113871701,0.7,0.084,0.0174
1,2021-07-24,4,0.000196652579787,0.744894407397283,0.537646186611499,0.7,0.021,0.0053
1,2021-07-24,5,0.00105794356929,0.764036266305555,0.551321900489828,0.7,0.021,0.0113
1,2021-07-24,6,0.001647748454721,0.730550389177588,0.518197321996824,0.7,0.145,0.0714
1,2021-07-24,7,0.001568201064286,0.735373911407095,0.548256160416514,0.7,0.06,0.0201
1,2021-07-24,8,0.000681584274488,0.72502845614346,0.498831082969254,0.7,0.015,0.0039
1,2021-07-24,9,0,0.714812252750816,0.564138870273893,0.7,0.013,0.0026
1,2021-07-24,10,0,0.678611579539067,0.561762225969646,0.7,0.011,0.0039
1,2021-07-24,11,0.001107284826876,0.820885606404536,0.708529415021426,0.7,0.011,0.0022
1,2021-07-24,12,0,0.75924938464395,0.552680191010326,0.7,0.03,0.0041
1,2021-07-24,13,0.000945642126465,0.727380831361276,0.521460166007475,0.7,0.085,0.0358
1,2021-07-24,14,0,0.770584240778018,0.571853854922028,0.7,0.04,0.0054
1,2021-07-24,15,0.000169664065151,0.789041398031897,0.548291482863929,0.7,0.042,0.0061
1,2021-07-24,16,0.000591078119101,0.794842695641316,0.560266694447338,0.7,0.05,0.0167
1,2021-07-25,1,0,0.763786508599944,0.586969627884591,0.7,0.014,0.0031
1,2021-07-25,2,0.000361836392057,0.767545446650842,0.579086580211891,0.7,0.017,0.0022
1,2021-07-25,3,0.000273973728659,0.791332019172681,0.590732564654375,0.7,0.084,0.0174
1,2021-07-25,4,0.000196652579787,0.745075327770687,0.540983380890482,0.7,0.021,0.0053
1,2021-07-25,5,0.00105794356929,0.764307099859293,0.555686975656718,0.7,0.021,0.0113
1,2021-07-25,6,0.001802224872351,0.731364479898499,0.524424266391493,0.7,0.145,0.0714
1,2021-07-25,7,0.001568201064286,0.735745052325642,0.55459953372155,0.7,0.06,0.0201
1,2021-07-25,8,0.000681584274488,0.725253378954041,0.504242862108685,0.7,0.015,0.0039
1,2021-07-25,9,0,0.714833870165806,0.564333427008798,0.7,0.013,0.0026
1,2021-07-25,10,0,0.678611579539067,0.562113546936481,0.7,0.011,0.0039
1,2021-07-25,11,0.001107284826876,0.820907752101073,0.708706580593726,0.7,0.011,0.0022
1,2021-07-25,12,0,0.759592174861099,0.558312424717079,0.7,0.03,0.0041
1,2021-07-25,13,0.000945642126465,0.728075878324228,0.527881076046176,0.7,0.085,0.0358
1,2021-07-25,14,0,0.771067268126662,0.578115021140025,0.7,0.04,0.0054
1,2021-07-25,15,0.000339328130302,0.789601289446895,0.553676620291822,0.7,0.042,0.0061
1,2021-07-25,16,0.000664962883988,0.795237240285816,0.567631527811334,0.7,0.05,0.0167
1,2021-07-26,1,0,0.764242470299162,0.597203434911467,0.7,0.014,0.0031
1,2021-07-26,2,0.000361836392057,0.768135239969895,0.589160105366757,0.7,0.017,0.0022
1,2021-07-26,3,0.000273973728659,0.792030652180762,0.598601090141466,0.7,0.084,0.0174
1,2021-07-26,4,0.000196652579787,0.745653486355261,0.546432623876376,0.7,0.021,0.0053
1,2021-07-26,5,0.00105794356929,0.764916475355205,0.565210583667467,0.7,0.021,0.0113
1,2021-07-26,6,0.001750732733141,0.732275375841124,0.531931820288315,0.7,0.145,0.0714
1,2021-07-26,7,0.001568201064286,0.73644551546769,0.562001442744979,0.7,0.06,0.0201
1,2021-07-26,8,0.000681584274488,0.725641881990499,0.51277629722527,0.7,0.015,0.0039
1,2021-07-26,9,0,0.71486629628829,0.564657688233641,0.7,0.013,0.0026
1,2021-07-26,10,0,0.678822372119168,0.562394603709949,0.7,0.011,0.0039
1,2021-07-26,11,0.001107284826876,0.821361738880092,0.713102501356424,0.7,0.011,0.0022
1,2021-07-26,12,0,0.760227765055394,0.566958355749592,0.7,0.03,0.0041
1,2021-07-26,13,0.000945642126465,0.729118448768656,0.535072684417945,0.7,0.085,0.0358
1,2021-07-26,14,0,0.771716020339696,0.584903677475162,0.7,0.04,0.0054
1,2021-07-26,15,0.000339328130302,0.790256192738378,0.562597556837462,0.7,0.042,0.0061
1,2021-07-26,16,0.000664962883988,0.795909591646293,0.579440529783318,0.7,0.05,0.0167
1,2021-07-27,1,0,0.764657902069559,0.604711604225245,0.7,0.014,0.0031
1,2021-07-27,2,0.000361836392057,0.768659902738378,0.601827997452672,0.7,0.017,0.0022
1,2021-07-27,3,0.000273973728659,0.792721065976983,0.604981938281938,0.7,0.084,0.0174
1,2021-07-27,4,0,0.746377167848876,0.553508183697108,0.7,0.021,0.0053
1,2021-07-27,5,0.000846354855432,0.765521619076838,0.571958147752399,0.7,0.021,0.0113
1,2021-07-27,6,0.001750732733141,0.733351046629222,0.539595910288335,0.7,0.145,0.0714
1,2021-07-27,7,0.001568201064286,0.737138137604416,0.568339588713134,0.7,0.06,0.0201
1,2021-07-27,8,0.000681584274488,0.726248491994793,0.522045843358302,0.7,0.015,0.0039
1,2021-07-27,9,0,0.715287835880585,0.570364685790873,0.7,0.013,0.0026
1,2021-07-27,10,0,0.678822372119168,0.562886453063519,0.7,0.011,0.0039
1,2021-07-27,11,0.001107284826876,0.821793579962574,0.716368991595708,0.7,0.011,0.0022
1,2021-07-27,12,0,0.76080860403445,0.57335472598207,0.7,0.03,0.0041
1,2021-07-27,13,0.000709231594849,0.730135014054606,0.541110609395427,0.7,0.085,0.0358
1,2021-07-27,14,0,0.772445613949992,0.590718194973282,0.7,0.04,0.0054
1,2021-07-27,15,0.000169664065151,0.791040040719376,0.571981676280964,0.7,0.042,0.0061
1,2021-07-27,16,0.000591078119101,0.796465943925897,0.591013100507662,0.7,0.05,0.0167
1,2021-07-28,1,0,0.765169592420903,0.615887732097171,0.7,0.014,0.0031
1,2021-07-28,2,0.000361836392057,0.76918094714294,0.612198228449025,0.7,0.017,0.0022
1,2021-07-28,3,0.000410960592989,0.793299150544454,0.614684717882402,0.7,0.084,0.0174
1,2021-07-28,4,0,0.747385995583183,0.562862946917569,0.7,0.021,0.0053
1,2021-07-28,5,0.000846354855432,0.766120415137057,0.577905906498947,0.7,0.021,0.0113
1,2021-07-28,6,0.001750732733141,0.734390672919872,0.546724482040572,0.7,0.145,0.0714
1,2021-07-28,7,0.001568201064286,0.73787257843619,0.574892055493408,0.7,0.06,0.0201
1,2021-07-28,8,0.000681584274488,0.726964155483005,0.529386505994534,0.7,0.015,0.0039
1,2021-07-28,9,0,0.715947167037766,0.575520439265873,0.7,0.013,0.0026
1,2021-07-28,10,0,0.679384485666105,0.563659359190557,0.7,0.011,0.0039
1,2021-07-28,11,0.001107284826876,0.822469023706968,0.724994740397072,0.7,0.011,0.0022
1,2021-07-28,12,0,0.761422769840174,0.579774901090739,0.7,0.03,0.0041
